id,category,question,best_structure,sample_answer_short,sample_answer_long,personalization_fields,follow_up_questions,red_flags_to_avoid
"IC-TellMeAboutYourself-0001","TellMeAboutYourself","Tell me about yourself (internship screening).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 1] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0002","TellMeAboutYourself","Give me a concise introduction (fresher full-time loop), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 2] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0003","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (off-campus HR round).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 3] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0004","TellMeAboutYourself","How would you describe yourself academically and professionally (mentor introduction)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 4] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0005","TellMeAboutYourself","Tell me about yourself (alumni referral chat).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 5] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0006","TellMeAboutYourself","Give me a concise introduction (internship screening), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 6] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0007","TellMeAboutYourself","Walk me through your background in about 45–60 seconds (fresher full-time loop).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 1] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0008","TellMeAboutYourself","How would you describe yourself academically and professionally (off-campus HR round)?","PREP lite","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 2] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use PREP lite: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0009","TellMeAboutYourself","Tell me about yourself (mentor introduction).","Elevator 3-stop","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 3] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use Elevator 3-stop: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
"IC-TellMeAboutYourself-0010","TellMeAboutYourself","Give me a concise introduction (alumni referral chat), then what you want next.","WHO+PROOF+AIM","[Point] Brief truthful headline for your situation. [Proof] One concrete artifact you owned. [Integrity] Mention VERIFY anywhere numbers aren't confirmed. [Close] Invite one thread. [Set 4] Replace bracket fields with truthful details; omit unknowns rather than guessing.","Use WHO+PROOF+AIM: keep Situation/Task short; expand Actions YOU took; Results honest (metric or qualitative); Technology only where necessary (STAR+T). End with polite branch offer. Only substitute facts you can verify; say VERIFY for numbers.","[degree_major]; [graduation_month_year]; [location_constraints]; [top_project_hook]; [one_metric_or_VERIFY]; [one_failure_learning]; [one_tool_you_can_define]; Do not use scripts to cheat on live assessments—practice and communication rehearsal only.","`Drill-down: quantify impact?`|`Who else was involved—what was uniquely yours?`|`What trade-off did you consciously accept?`","Fake KPIs/unverifiable prestige; blaming-only answers; jargon without definitions; unethical shortcuts presented as heroic; contradictory timelines; exaggerated titles; mocking users/teammates"
