id,category,tool_stack,workflow_title,workflow_steps,prompts,output_format,safety_note
WF-001,Coding,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Speed-run ""group sync"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: group sync. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-002,Slides,NotebookLM-type grounded notebook + syllabus,"Stabilise ""internship outreach"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: internship outreach. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-003,Revision,Notion-type workspace + calendar reminders,"De-risk ""image prompt cleanup"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: image prompt cleanup. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-004,Collaboration,Grammarly-type writing assistant,"Package ""keyword search plan"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: keyword search plan. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-005,Study,Zotero-type citation manager + library database,"Rehearse ""last-day calm plan"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: last-day calm plan. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-006,Research,Anki-type spaced repetition decks,"Map ""refactor rationale"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: refactor rationale. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-007,Writing,Cursor/Copilot-type coding assistant + official docs tab,"Speed-run ""REST error mapping"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: REST error mapping. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-008,Projects,Canva-type slides + exported PNG charts you label,"Stabilise ""chart truth labels"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: chart truth labels. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-009,Coding,Workspace board + messaging app for group sync,"De-risk ""email subject lines"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: email subject lines. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-010,Slides,ChatGPT-type assistant + textbook PDF,"Package ""stipend tax question route"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: stipend tax question route. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-011,Revision,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Rehearse ""open data finding"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: open data finding. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-012,Collaboration,NotebookLM-type grounded notebook + syllabus,"Map ""formula cheat one-pager"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: formula cheat one-pager. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-013,Study,Notion-type workspace + calendar reminders,"Speed-run ""exam instruction decode"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: exam instruction decode. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-014,Research,Grammarly-type writing assistant,"Stabilise ""async standup notes"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: async standup notes. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-015,Writing,Zotero-type citation manager + library database,"De-risk ""system design vending"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: system design vending. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-016,Projects,Anki-type spaced repetition decks,"Package ""regex explain"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: regex explain. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-017,Coding,Cursor/Copilot-type coding assistant + official docs tab,"Rehearse ""pagination testing"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: pagination testing. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-018,Slides,Canva-type slides + exported PNG charts you label,"Map ""LICENSE pick student"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: LICENSE pick student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-019,Revision,Workspace board + messaging app for group sync,"Speed-run ""sequence diagram lite"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: sequence diagram lite. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-020,Collaboration,ChatGPT-type assistant + textbook PDF,"Stabilise ""observability terms"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: observability terms. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-021,Study,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"De-risk ""fixture hygiene"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: fixture hygiene. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-022,Research,NotebookLM-type grounded notebook + syllabus,"Package ""a11y alt text drill"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: a11y alt text drill. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-023,Writing,Notion-type workspace + calendar reminders,"Rehearse ""empty state UX"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: empty state UX. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-024,Projects,Grammarly-type writing assistant,"Map ""cache bust student"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: cache bust student. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-025,Coding,Zotero-type citation manager + library database,"Speed-run ""SBOM practical ignore depth"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: SBOM practical ignore depth. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-026,Slides,Anki-type spaced repetition decks,"Stabilise ""spaced backlog review"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: spaced backlog review. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-027,Revision,Cursor/Copilot-type coding assistant + official docs tab,"De-risk ""notification zero hour"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: notification zero hour. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-028,Collaboration,Canva-type slides + exported PNG charts you label,"Package ""sleep debt honesty"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: sleep debt honesty. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-029,Study,Workspace board + messaging app for group sync,"Rehearse ""focus playlist bias"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: focus playlist bias. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-030,Research,ChatGPT-type assistant + textbook PDF,"Map ""grade grubbing avoid"" (Research)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: grade grubbing avoid. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-031,Writing,Claude/Gemini-type assistant + handwritten notes photo (if allowed),"Speed-run ""financial aid wording careful"" (Writing)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: financial aid wording careful. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-032,Projects,NotebookLM-type grounded notebook + syllabus,"Stabilise ""issue hunt good-first"" (Projects)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: issue hunt good-first. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-033,Coding,Notion-type workspace + calendar reminders,"De-risk ""git hygiene"" (Coding)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: git hygiene. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-034,Slides,Grammarly-type writing assistant,"Package ""thesis-ish intro"" (Slides)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: thesis-ish intro. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-035,Revision,Zotero-type citation manager + library database,"Rehearse ""equation intuition"" (Revision)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: equation intuition. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-036,Collaboration,Anki-type spaced repetition decks,"Map ""meeting recap"" (Collaboration)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: meeting recap. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
WF-037,Study,Cursor/Copilot-type coding assistant + official docs tab,"Speed-run ""risk register tiny"" (Study)",1) Define allowed inputs. 2) Outline only. 3) Rewrite yourself. 4) Verify facts externally. 5) Log disclosure note if syllabus requires.,Teacher prompt: Outline + gaps only for: risk register tiny. Student prompt: Find 5 self-quiz qs from my pasted notes — no answers.,Bullets + timestamps + citations list (manual),No cheating: do not request full graded solutions without permission; verify facts; follow college AI policy; cite sources you control.
